"User ID","Gender","Age","EstimatedSalary","Purchased"
"80666062","Male","19","49918","0"
"80569346","Male","36","29091","1"
"80259315","Female","40","75939","1"
"80070543","Female","20","36917","0"
"80057465","Male","43","68742","0"
"80039005","Male","34","78122","1"
"80183633","Female","31","154954","0"
"80235453","Male","29","104774","0"
"80121716","Male","25","69051","1"
"80904617","Female","27","74669","1"
"80199699","Male","47","136758","0"
"80649241","Female","39","31320","0"
"80216155","Male","27","117516","0"
"80290702","Female","52","128531","1"
"80675740","Male","42","59507","0"
"80165644","Male","37","33279","1"
"80973451","Female","50","108457","0"
"80426390","Male","38","132813","0"
"80732696","Female","52","50139","0"
"80466991","Female","34","116401","0"
"80888063","Female","21","105728","0"
"80345572","Female","43","124828","0"
"80947189","Female","58","48517","0"
"80778144","Female","21","109676","1"
"80195324","Female","60","25017","1"
"80022119","Female","53","52630","0"
"80445508","Female","27","100320","0"
"80660847","Male","17","128692","1"
"80613644","Female","25","132219","0"
"80756439","Female","51","133861","0"
"80991616","Male","22","115518","0"
"80914761","Female","24","152040","0"
"80830625","Female","18","45069","0"
"80037834","Female","52","29462","0"
"80688366","Male","45","28735","1"
"80897359","Male","44","146581","0"
"80877255","Male","32","29173","1"
"80920651","Female","23","30609","1"
"80529673","Female","35","118080","1"
"80858958","Female","34","123450","1"
"80745243","Male","59","55061","0"
"80629046","Male","52","87479","0"
"80828065","Male","40","69946","0"
"80313250","Male","22","137555","1"
"80073831","Female","35","97196","0"
"80257844","Female","26","132005","1"
"80330351","Male","39","151434","1"
"80521541","Female","43","145412","0"
"80824924","Male","36","111412","0"
"80700453","Male","21","129731","1"
"80684026","Male","53","67651","0"
"80469891","Female","55","107377","1"
"80738409","Female","49","33036","1"
"80859237","Female","38","118826","0"
"80499870","Male","57","48176","1"
"80353188","Female","19","81015","0"
"80402971","Male","26","68891","0"
"80206233","Male","29","82198","1"
"80859049","Female","51","33662","1"
"80363994","Female","50","47911","0"
"80435547","Female","59","61273","1"
"80925337","Male","44","31729","1"
"80245581","Male","54","53703","1"
"80774179","Male","54","92134","1"
"80404250","Male","42","56194","0"
"80131823","Male","40","27986","1"
"80849653","Male","29","55867","0"
"80021119","Male","41","156151","0"
"80942557","Male","54","57664","0"
"80119063","Female","19","82935","0"
"80383698","Male","50","137294","0"
"80899861","Female","30","133748","1"
"80299249","Male","36","81496","0"
"80120415","Female","36","99719","1"
"80660542","Female","28","122818","0"
"80100675","Male","41","155147","1"
"80534592","Male","33","125897","0"
"80199414","Male","49","47429","1"
"80241446","Female","44","80638","1"
"80476327","Male","33","157873","0"
"80896234","Male","37","159158","1"
"80742902","Male","31","124917","0"
"80845178","Female","53","143814","0"
"80617180","Female","39","35183","1"
"80490988","Male","21","145171","1"
"80705796","Female","46","83089","0"
"80362075","Male","50","56529","1"
"80642301","Female","51","85276","1"
"80234155","Male","21","30771","1"
"80347873","Male","58","154134","0"
"80459099","Female","49","112364","1"
"80744259","Male","55","155520","1"
"80329494","Male","19","29896","0"
"80744917","Male","33","119894","1"
"80576572","Female","46","52664","1"
"80296120","Male","43","62858","1"
"80945235","Male","33","83759","0"
"80264374","Male","25","109628","1"
"80619987","Female","38","144842","1"
"80059973","Male","56","147104","1"
"80506343","Male","35","27403","0"
"80079207","Female","34","51525","1"
"80593517","Male","19","49390","1"
"80520367","Female","41","117469","0"
"80351938","Female","21","148096","0"
"80671335","Male","58","86030","1"
"80768737","Male","49","30111","0"
"80736147","Female","31","146765","0"
"80120650","Male","53","150116","1"
"80839840","Female","32","143805","1"
"80727910","Female","50","65187","1"
"80852079","Male","59","150301","1"
"80114586","Female","18","29899","0"
"80523437","Male","38","33492","1"
"80802241","Female","45","127399","1"
"80147362","Female","56","118223","0"
"80111421","Male","27","152735","1"
"80367394","Male","49","46194","0"
"80372560","Male","19","31029","1"
"80483684","Female","53","57558","0"
"80927808","Male","55","121672","0"
"80995047","Male","48","73075","0"
"80690492","Male","37","84097","0"
"80757758","Male","32","36919","0"
"80455990","Female","25","55248","1"
"80143534","Female","58","70216","1"
"80756532","Male","48","132772","0"
"80452555","Male","40","141710","0"
"80735925","Male","38","92566","0"
"80487218","Male","52","39087","0"
"80329047","Female","48","33129","1"
"80473029","Female","19","89256","0"
"80887446","Female","29","87712","1"
"80149497","Female","59","138337","1"
"80434827","Female","51","69669","1"
"80843799","Female","60","157894","1"
"80664935","Female","60","156884","1"
"80779682","Female","58","105602","1"
"80237530","Female","36","142030","1"
"80398502","Male","34","64994","0"
